,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Type,Measurement,,Totals,Amounts,,,,,,,,,,,,,,
# of GPUs,8,,Annual Recurring Cost,118258.56,,GPU Rent,,,,,,,,,,,,
Years of Service,3,,Total Recurring Cost,354775.68,,Pricing/Hr,Utilization %,,,,,,,,,,,
Hrs/Yr,8760,,Total Project Cost,714775.68,,,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.98
Months/Yr,12,,,,,2.3,-69.6,-66.2,-62.8,-59.4,-56,-52.6,-49.3,-45.9,-42.5,-39.1,-35.7,-33.7
Hrs/Month,720,,,,,2.4,-68.2,-64.7,-61.2,-57.6,-54.1,-50.6,-47.1,-43.5,-40,-36.5,-32.9,-30.8
kW/GPU/hr,1.2,,,,,2.5,-66.9,-63.2,-59.6,-55.9,-52.2,-48.5,-44.8,-41.2,-37.5,-33.8,-30.1,-27.9
Total GPU Hours,210240,,,,,2.6,-65.6,-61.8,-57.9,-54.1,-50.3,-46.5,-42.6,-38.8,-35,-31.2,-27.3,-25.1
,,,,,,2.7,-64.3,-60.3,-56.3,-52.4,-48.4,-44.4,-40.4,-36.5,-32.5,-28.5,-24.6,-22.2
,,,,,,2.8,-62.9,-58.8,-54.7,-50.6,-46.5,-42.3,-38.2,-34.1,-30,-25.9,-21.8,-19.3
Title,Cost (Annual),Cost (Monthly),Notes,Term,,2.9,-61.6,-57.4,-53.1,-48.8,-44.6,-40.3,-36,-31.8,-27.5,-23.2,-19,-16.4
Datacenter Rent,90720,"2,520",Sierra Datacenters Barebones 4U @ $120/mo,Recurring,,3,-60.3,-55.9,-51.5,-47.1,-42.6,-38.2,-33.8,-29.4,-25,-20.6,-16.2,-13.5
Electric,9538.56,794.88,DLC Rate @ $0.115/kW/hr,Recurring,,3.1,-59,-54.4,-49.9,-45.3,-40.7,-36.2,-31.6,-27.1,-22.5,-17.9,-13.4,-10.6
Internet,18000,1500,FDCservers @ $1500/mo,Recurring,,3.2,-57.6,-52.9,-48.2,-43.5,-38.8,-34.1,-29.4,-24.7,-20,-15.3,-10.6,-7.8
Legal,50000,,Estimated from Ashley,Fixed,,3.3,-56.3,-51.5,-46.6,-41.8,-36.9,-32.1,-27.2,-22.3,-17.5,-12.6,-7.8,-4.9
GPU Server (All Inc.),360000,10000,"8 H200s, 256 5600MHz DDR5/GPU, CPU 16 Cores/GPU",Fixed,,3.4,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,-2
,,,,,,3.5,-53.7,-48.5,-43.4,-38.2,-33.1,-27.9,-22.8,-17.6,-12.5,-7.3,-2.2,0.9
,,,,,,3.6,-52.4,-47.1,-41.8,-36.5,-31.2,-25.9,-20.6,-15.3,-10,-4.7,0.6,3.8
,,,,,,3.7,-51,-45.6,-40.1,-34.7,-29.3,-23.8,-18.4,-12.9,-7.5,-2.1,3.4,6.7
,,,,,,3.8,-49.7,-44.1,-38.5,-32.9,-27.3,-21.8,-16.2,-10.6,-5,0.6,6.2,9.5
Company/Marketplace,Rate,Rate Terms,Status,,,3.9,-48.4,-42.6,-36.9,-31.2,-25.4,-19.7,-14,-8.2,-2.5,3.2,9,12.4
Vast.ai,1.59-1.79,Flexible Listing,Not Useful,,,4,-47.1,-41.2,-35.3,-29.4,-23.5,-17.6,-11.8,-5.9,0,5.9,11.8,15.3
Coreweave.com,2.23-2.6,,Low Value,,,4.1,-45.7,-39.7,-33.7,-27.6,-21.6,-15.6,-9.6,-3.5,2.5,8.5,14.6,18.2
Runpod.com,3.5-3.9,,Medium Value,,,4.2,-44.4,-38.2,-32.1,-25.9,-19.7,-13.5,-7.3,-1.2,5,11.2,17.4,21.1
Modal.com,4.3-5,,High Value,,,4.3,-43.1,-36.8,-30.4,-24.1,-17.8,-11.5,-5.1,1.2,7.5,13.8,20.2,23.9
,,,,,,4.4,-41.8,-35.3,-28.8,-22.3,-15.9,-9.4,-2.9,3.5,10,16.5,22.9,26.8
,,,,,,4.5,-40.4,-33.8,-27.2,-20.6,-14,-7.3,-0.7,5.9,12.5,19.1,25.7,29.7
,,,,,,4.6,-39.1,-32.3,-25.6,-18.8,-12.1,-5.3,1.5,8.2,15,21.8,28.5,32.6
,,,,,,4.7,-37.8,-30.9,-24,-17.1,-10.1,-3.2,3.7,10.6,17.5,24.4,31.3,35.5
,,,,,,4.8,-36.5,-29.4,-22.3,-15.3,-8.2,-1.2,5.9,12.9,20,27.1,34.1,38.4
,,,,,,4.9,-35.1,-27.9,-20.7,-13.5,-6.3,0.9,8.1,15.3,22.5,29.7,36.9,41.2
,,,,,,5,-33.8,-26.5,-19.1,-11.8,-4.4,2.9,10.3,17.7,25,32.4,39.7,44.1